Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.7.1 2017-03-29,,,,
Nutrients: Phenylalanine (g),,,,
Food Subset:All Foods,,,,
Ordered by:Food Name,,,,
Measured by:Household,,,,
Report Run at: 04-19-2017T03:37,,,,
NDB_NO,Description,Weight(g),Measure,"Phenylalanine(g)Per Measure
14006"
14003,Alcoholic beverage beer regular all,29.7,1.0 fl oz,0
14034,Alcoholic beverage creme de menthe 72 proof,33.6,1.0 fl oz,0
14533,Alcoholic beverage distilled all (gin rum vodka whiskey) 100 proof,27.8,1.0 fl oz,0
14037,Alcoholic beverage distilled all (gin rum vodka whiskey) 80 proof,27.8,1.0 fl oz,0
14550,Alcoholic beverage distilled all (gin rum vodka whiskey) 86 proof,27.8,1.0 fl oz,0
14551,Alcoholic beverage distilled all (gin rum vodka whiskey) 90 proof,27.8,1.0 fl oz,0
14532,Alcoholic beverage distilled all (gin rum vodka whiskey) 94 proof,27.8,1.0 fl oz,0
14049,Alcoholic beverage distilled gin 90 proof,27.8,1.0 fl oz,0
14050,Alcoholic beverage distilled rum 80 proof,27.8,1.0 fl oz,0
14051,Alcoholic beverage distilled vodka 80 proof,27.8,1.0 fl oz,0
14415,Alcoholic beverage liqueur coffee with cream 34 proof,31.1,1.0 fl oz,0.042
20001,Amaranth grain uncooked,193,1.0 cup,1.046
11700,Amaranth leaves cooked boiled drained with salt,132,1.0 cup,0.15
11004,Amaranth leaves cooked boiled drained without salt,132,1.0 cup,0.15
11003,Amaranth leaves raw,28,1.0 cup,0.037
36000,APPLEBEES 9 oz house sirloin steak,157,1.0 serving,1.76
36023,APPLEBEES chicken tenders platter,209,1.0 serving,1.705
36005,APPLEBEES chicken tenders from kids menu,35,1.0 piece,0.266
36019,APPLEBEES chili,136,1.0 cup,0.645
36021,APPLEBEES coleslaw,76,1.0 serving,0.013
36022,APPLEBEES crunchy onion rings,350,1.0 serving,0.697
36001,APPLEBEES Double Crunch Shrimp,206,1.0 serving,1.133
36018,APPLEBEES fish hand battered,250,1.0 serving,1.35
36003,APPLEBEES KRAFT Macaroni  &  Cheese from kids menu,124,1.0 cup,0.339
36004,APPLEBEES mozzarella sticks,32,1.0 piece,0.281
9008,Apples canned sweetened sliced drained heated,204,1.0 cup slices,0.01
9007,Apples canned sweetened sliced drained unheated,204,1.0 cup slices,0.01
9010,Apples dehydrated (low moisture) sulfured stewed,193,1.0 cup,0.015
9009,Apples dehydrated (low moisture) sulfured uncooked,60,1.0 cup,0.022
9013,Apples dried sulfured stewed with added sugar,280,1.0 cup,0.017
9012,Apples dried sulfured stewed without added sugar,255,1.0 cup,0.015
9011,Apples dried sulfured uncooked,86,1.0 cup,0.022
9015,Apples frozen unsweetened heated,206,1.0 cup slices,0.016
9014,Apples frozen unsweetened unheated,173,1.0 cup slices,0.014
9501,Apples raw golden delicious with skin,109,1.0 cup sliced,0.008
9500,Apples raw red delicious with skin,109,1.0 cup sliced,0.008
9003,Apples raw with skin,125,1.0 cup quartered or chopped,0.007
9004,Apples raw without skin,110,1.0 cup slices,0.008
9006,Apples raw without skin cooked microwave,170,1.0 cup slices,0.014
9402,Applesauce canned sweetened with salt,255,1.0 cup,0.013
9020,Applesauce canned sweetened without salt (includes USDA commodity),246,1.0 cup,0.012
9401,Applesauce canned unsweetened with added ascorbic acid,244,1.0 cup,0.012
9019,Applesauce canned unsweetened without added ascorbic acid (includes USDA commodity),244,1.0 cup,0.012
9029,Apricots canned extra heavy syrup pack without skin solids and liquids,246,1.0 cup whole without pits,0.057
9025,Apricots canned extra light syrup pack with skin solids and liquids,247,1.0 cup halves,0.062
9027,Apricots canned heavy syrup pack with skin solids and liquids,258,1.0 cup halves,0.057
9028,Apricots canned heavy syrup pack without skin solids and liquids,258,1.0 cup whole without pits,0.054
9024,Apricots canned juice pack with skin solids and liquids,244,1.0 cup halves,0.063
9026,Apricots canned light syrup pack with skin solids and liquids,253,1.0 cup halves,0.056
9022,Apricots canned water pack with skin solids and liquids,243,1.0 cup halves,0.073
9023,Apricots canned water pack without skin solids and liquids,227,1.0 cup whole without pits,0.064
9031,Apricots dehydrated (low-moisture) sulfured stewed,249,1.0 cup,0.199
9030,Apricots dehydrated (low-moisture) sulfured uncooked,119,1.0 cup,0.242
9034,Apricots dried sulfured stewed with added sugar,270,1.0 cup halves,0.132
9033,Apricots dried sulfured stewed without added sugar,250,1.0 cup halves,0.055
